id_point,datetime,tree_height,canopy_diam,biomasa_total_m3_kg,Sigma0_RATIO_VH_VV,Gamma0_RATIO_VH_VV
O1-1,2025-02-20 15:23:00,4.16625,4.459994500000001,49.54040198685956,0.8108414635128176,0.801532875682325
O1-13,2025-02-20 15:36:00,4.415,4.846434,60.1267466698565,0.8108909540447177,0.8015858632047372
O1-17,2025-02-20 16:06:00,4.16,4.258532000000001,48.98562162186876,0.8109093891761897,0.8016122461298563
O1-25,2025-02-20 16:15:00,4.86,4.9230155,68.78800600609335,0.8109248923525827,0.8016330386404508
O1-9,2025-02-20 15:30:00,3.255,4.6107595,48.88888618803776,0.8108685730714167,0.8015546183154165
O2-1,2025-02-20 16:27:00,3.44,4.242119000000001,38.42177050637075,0.8108925540242364,0.8015765204455454
O2-13,2025-02-20 16:43:00,3.26,4.521077,38.06474617651126,0.8108522810822666,0.8015301946324294
O2-17,2025-02-20 16:48:00,3.51,4.280934,41.53464534575383,0.8108231164322591,0.80150479211454
O2-25,2025-02-20 16:50:00,3.35,3.51172,24.31394835834258,0.8107988081478882,0.8014817757633356
O2-9,2025-02-20 16:36:00,3.6925,3.533801,33.68003683213294,0.8108751324871807,0.8015525448714053
Y1-1,2025-02-20 11:43:00,1.87,3.686444,11.72661994935651,0.8102984853812488,0.8008794085153396
Y1-13,2025-02-20 12:02:00,2.09,2.533276,7.039709489514616,0.8102438823122413,0.8008693426301682
Y1-17,2025-02-20 12:07:00,1.8725,2.1233085,4.311736866134695,0.8102108136247628,0.8008633828634721
Y1-25,2025-02-20 12:13:00,1.98833333,2.4926935,6.961489085485734,0.8101747518011652,0.8008564217991507
Y1-9,2025-02-20 11:53:00,2.03125,2.366518,6.83420583896043,0.8102731773968452,0.8008740839308879
Y2-1,2025-02-20 14:07:00,2.085,3.095346,10.03850917792713,0.8106703489975761,0.8012782461737036
Y2-13,2025-02-20 14:21:00,1.985,2.5010535,6.387145800431348,0.8106471052599158,0.8012615749281199
Y2-17,2025-02-20 14:26:00,2.025,2.349464,7.759773036597721,0.8106342553573123,0.8012567563672034
Y2-25,2025-02-20 14:33:00,1.66,2.7913765,5.326635000765945,0.8106180998278122,0.8012484736850555
Y2-9,2025-02-20 14:13:00,1.4975,1.607517,1.839547817198664,0.8106582138751821,0.8012706980113614
Y1-5,2025-03-17 10:30:00,2.2675,3.9143445,18.10133514759244,0.8084983135486339,0.8011069385368457
Y1-7,2025-03-17 10:18:00,1.96,1.912544,4.028246623924423,0.8085103706086443,0.8011096176838531
Y1-14,2025-03-17 10:05:00,1.91875,2.3255115,5.467656647249018,0.8085123842140131,0.801108519023843
Y1-19,2025-03-17 09:47:00,1.745,3.4590315,9.842781131857256,0.8085406661077825,0.8011138984863813
Y1-21,2025-03-17 09:25:00,2.75,2.6118835,12.15319631673589,0.8085586270852279,0.801117611145171
Y2-5,2025-03-17 11:39:00,1.735,2.133858,3.851801171987138,0.8088601615694868,0.8014720371995541
Y2-7,2025-03-17 11:54:00,1.9025,2.702071,6.700522836348097,0.8088659243878149,0.8014824037804948
Y2-14,2025-03-17 12:08:00,1.85,3.079717,8.643328456419889,0.8088699920440187,0.8014820661137705
Y2-19,2025-03-17 12:23:00,1.4925,2.4576015,4.023029190744917,0.8088825982835435,0.8014953949492499
Y2-21,2025-03-17 12:40:00,2.3375,2.782823,9.040025739121532,0.8088911440454409,0.8015017337764786
O1-5,2025-03-17 16:22:00,3.69,4.188836999999999,46.43649797412443,0.8091754849058732,0.8018573122809841
O1-7,2025-03-17 16:10:00,3.885,5.292763,62.58356439435008,0.809180262464473,0.8018598104057515
O1-14,2025-03-17 15:51:00,3.31,3.0462375,25.99800281458464,0.8091998998697651,0.8018556157514876
O1-19,2025-03-17 15:40:00,3.53,4.7320895,49.35220531720043,0.8091871559577726,0.8018631537731296
O1-21,2025-03-17 15:20:00,3.6525,3.6246695,37.60161845350372,0.8091841883159474,0.8018674423147423
O2-5,2025-03-17 17:40:00,2.9775,4.1685735,28.40997082636162,0.8090856245304401,0.8017791910061223
O2-7,2025-03-17 17:26:00,3.175,3.9140425,28.32642553971914,0.8090885354577967,0.8017786864201767
O2-14,2025-03-17 17:21:00,3.8125,4.1995255,40.29124573356532,0.8090891022250094,0.8017774769626352
O2-19,2025-03-17 17:10:00,3.245,4.5063125,45.03450078273383,0.8091126134198635,0.8017984553984945
O2-21,2025-03-17 16:54:00,3.49,0.0,0.0,0.8091122422699222,0.8017976855824679
Y1-4,2025-04-09 10:36:00,1.865,2.794436,7.126313922138521,0.8085690375475706,0.8012623221989241
Y1-8,2025-04-09 11:06:00,1.57166667,2.0139665,2.819898107936642,0.8085879353490183,0.8012738057488857
Y1-12,2025-04-09 11:30:00,1.65,2.4150395,4.655991240753934,0.8086037188985032,0.8012832374236292
Y1-18,2025-04-09 11:44:00,2.7,3.226824,17.29281766222097,0.8085739507515086,0.8012622608191916
Y1-22,2025-04-09 11:55:00,2.0525,3.06967,9.239858019495925,0.8085929904281471,0.801272265891614
Y2-4,2025-04-09 16:35:00,1.81,2.8041125,7.069299546749895,0.8089234419818409,0.8015633375349601
Y2-8,2025-04-09 16:31:00,1.74666667,2.553571,4.754525337271121,0.8089243088687202,0.8015633144562158
Y2-12,2025-04-09 16:28:00,2.1,2.6855645,7.968550631403163,0.8089307175718459,0.8015760496190499
Y2-18,2025-04-09 16:23:00,1.5,2.143586,3.238735927126146,0.8089261334908627,0.801565835991889
Y2-22,2025-04-09 16:18:00,2.2225,3.48048,13.85392196946066,0.8089274113393684,0.8015656942670245
O1-4,2025-04-09 15:02:00,3.45,3.094939,29.48660915964079,0.8092727088912112,0.8019068099578771
O1-8,2025-04-09 14:54:00,3.31,4.906637,61.54970514549721,0.8092747259271782,0.8019096197289356
O1-12,2025-04-09 14:43:00,4.67,4.953823,68.29409365575411,0.8092748065921023,0.8019127264559269
O1-18,2025-04-09 14:30:00,4.95,4.3682005,68.87371142687107,0.8092872590690751,0.8019416886069166
O1-22,2025-04-09 14:16:00,3.75333333,3.8092425,37.00753013378585,0.8092876251108373,0.8019435819526881
O2-4,2025-04-09 16:03:00,3.35,3.438479,27.38074439765154,0.809236505898024,0.8018716945274502
O2-8,2025-04-09 15:55:00,3.12,3.851069,27.66173295151034,0.8092528581339509,0.8018832424100062
O2-12,2025-04-09 15:46:00,3.4,4.080367,32.5514623546325,0.8092564434105086,0.8018819755729938
O2-18,2025-04-09 15:39:00,3.4525,4.501841499999999,40.81358478082549,0.8092241948034989,0.8018579126788143
O2-22,2025-04-09 15:20:00,4.015,4.016712,42.96791263678905,0.8092209308006545,0.8018553794245155
Y1-3,2025-05-27 16:16:00,1.6725,3.0499925,6.392814390185372,0.8087241206897314,0.8046205509451894
Y1-10,2025-05-27 16:27:00,1.91,3.0850355,8.79451018343486,0.8087374091817049,0.8046393241435618
Y1-15,2025-05-27 17:03:00,2.105,3.254936,12.00041974583092,0.8087021617747531,0.8045847727657955
Y1-20,2025-05-27 16:36:00,2.355,3.485454,14.98031754516787,0.8087315991472384,0.8046313893360089
Y1-24,2025-05-27 16:53:00,2.375,3.8012555,17.82213502695136,0.8087073990169397,0.8045923152945655
Y2-3,2025-05-26 12:36:00,1.95,3.088246,8.761704697857352,0.8090995773652034,0.804915552325215
Y2-10,2025-05-26 12:48:00,2.175,3.1310625,10.64484367162919,0.8091248519425855,0.8049385292614132
Y2-15,2025-05-26 11:19:00,1.8375,3.4786645,9.543096343899446,0.8090478551155545,0.804872145398976
Y2-20,2025-05-26 12:58:00,2.5325,3.3781845,14.55589178411807,0.809113600801199,0.8049283919299023
Y2-24,2025-05-26 13:10:00,1.285,2.2517755,2.734759742377979,0.8090717730048157,0.804888330158495
O1-3,2025-05-27 09:02:00,3.64,4.627158,46.17761474182709,0.8092747235795695,0.805188916459715
O1-10,2025-05-27 09:12:00,3.4475,4.0413265,44.1101864873648,0.8092659559479641,0.8051798788484953
O1-15,2025-05-27 08:51:00,3.375,4.788461,43.85353310816772,0.8093715127531427,0.80522620153426
O1-20,2025-05-27 08:27:00,3.37,4.19288,45.18842566289511,0.8093017292330977,0.8052031645103744
O1-24,2025-05-27 08:40:00,4.21,4.0905755,53.17352887766813,0.8093951026192847,0.805238770350782
O2-3,2025-05-27 09:27:00,2.645,2.870425,20.04812043555502,0.8092640334346474,0.805177804606905
O2-10,2025-05-27 09:37:00,2.5675,3.6916795,20.90790018562842,0.8093151172093228,0.8051977966981956
O2-15,2025-05-27 10:12:00,4.1,4.056388,42.64152259072569,0.8092539945175237,0.8051356801912957
O2-20,2025-05-27 09:48:00,3.42,3.8132765,34.73720811889834,0.8092660859513254,0.8051764906445575
O2-24,2025-05-27 10:00:00,3.97,4.2214745,42.6515562631985,0.8092524947630821,0.805135233093824
Y1-2,2025-06-19 18:32:00,1.98,2.2857625,5.993748361573806,0.8084974652720817,0.8011946144928438
Y1-6,2025-06-20 09:20:00,1.40166667,2.1751875,2.546340456971433,0.8084405333155261,0.8011378446616182
Y1-11,2025-06-20 10:06:00,1.915,3.196623,9.41081265204609,0.808518465729399,0.8012133249636804
Y1-16,2025-06-20 09:38:00,1.835,1.8980945,3.891821288182494,0.808426442904788,0.8011225031714861
Y1-23,2025-06-20 10:31:00,1.985,3.138581,9.40147164908247,0.8084578257524444,0.8011523510443181
Y2-2,2025-06-20 12:43:00,1.9,2.9538015,7.353801664181365,0.8088636004699671,0.801533100616837
Y2-6,2025-06-20 11:48:00,1.60166667,1.864334,2.581409897294725,0.80879128422181,0.8014805446847646
Y2-11,2025-06-20 12:30:00,1.985,3.1938915,10.49874975216945,0.8088894452805439,0.8015502601150392
Y2-16,2025-06-20 12:06:00,2.17833333,3.299707,11.52927575223326,0.8087856546631045,0.8014688010944848
Y2-23,2025-06-20 12:19:00,2.265,2.4584695,7.524230993174424,0.8088293155638105,0.8015011848528554
O1-2,2025-06-20 16:57:00,3.8805,4.115181,41.59390723361064,0.8091398632477275,0.8017807128118716
O1-6,2025-06-20 17:51:00,3.91,4.3452005,48.02940330708781,0.8091537230748711,0.8018114469134129
O1-11,2025-06-20 17:20:00,3.74166667,3.452491,38.19352315934454,0.8091507983839855,0.8017895501945134
O1-16,2025-06-20 17:38:00,3.405,3.4905595,28.39865869945693,0.8091555953009034,0.8018341677440269
O1-23,2025-06-20 17:30:00,4.24,3.739572,50.76493286615964,0.8091566407109752,0.8018322521027635
O2-2,2025-06-20 16:37:00,2.54,3.762016,19.28993960389835,0.8091490348878719,0.8017899153737811
O2-6,2025-06-20 15:45:00,2.785,3.7778295,25.30842162417856,0.8091120036632721,0.8017539395065117
O2-11,2025-06-20 16:23:00,2.905,3.5370515,24.04853044186692,0.8091473928389412,0.8017792177550748
O2-16,2025-06-20 16:01:00,3.13833333,3.6668095,28.07797389008841,0.8091031907735196,0.8017480314412977
O2-23,2025-06-20 16:11:00,3.785,5.046264499999999,55.79644581209125,0.8091102772570463,0.8017486036481997
